User ID,User Level,Timestamp,Inspection Type,Total Quantity,Correct Orientation,Wrong Orientation,Inspection Type,Decoded Batch Quantity,Decoded Box Quantity,Accumulated Batch Quantity,Overall Result,Messages,Remarks,Approved By
a,Admin,11-01-2023 | 09:19:04.912,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 09:19:13.135,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 09:19:22.939,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 09:19:35.357,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 09:19:37.898,TopVision,26,26,0,CodeReader,281,26,130,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 09:19:53.356,TopVision,26,26,0,CodeReader,281,26,156,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:09:50.117,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:09:53.807,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:09:55.538,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:09:57.086,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:09:58.622,TopVision,26,26,0,CodeReader,281,26,130,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:10:03.873,TopVision,26,26,0,CodeReader,281,26,156,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:17:08.404,TopVision,26,26,0,CodeReader,281,26,156,NG,BatchNotMatch,N/A,Admin
a,Admin,11-01-2023 | 11:18:38.153,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:18:40.891,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:18:42.396,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:18:43.896,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:18:45.493,TopVision,26,26,0,CodeReader,281,26,130,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:18:47.004,TopVision,26,26,0,CodeReader,281,26,156,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:18:48.496,TopVision,26,26,0,CodeReader,281,26,182,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:18:50.030,TopVision,26,26,0,CodeReader,281,26,208,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:18:51.508,TopVision,26,26,0,CodeReader,281,26,234,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:18:53.154,TopVision,26,26,0,CodeReader,281,26,260,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:19:07.799,TopVision,26,26,0,CodeReader,281,26,286,NG,ExceedTotalBatchQty,test1,Engineer
a,Admin,11-01-2023 | 11:19:23.325,TopVision,26,26,0,CodeReader,281,26,312,NG,ExceedTotalBatchQty,test2,Engineer
a,Admin,11-01-2023 | 11:19:39.349,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:20:08.226,TopVision,26,26,0,CodeReader,285,26,26,NG,BatchNotMatch,test3,Technician
a,Admin,11-01-2023 | 11:20:17.126,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:21:16.847,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:21:56.960,TopVision,26,26,0,CodeReader,285,26,26,NG,BatchNotMatch,test4,Admin
a,Admin,11-01-2023 | 11:22:08.576,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:22:17.809,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:22:52.741,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:23:06.107,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:26:26.847,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:26:29.577,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:26:31.111,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:26:32.671,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:26:34.197,TopVision,26,26,0,CodeReader,281,26,130,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:26:35.698,TopVision,26,26,0,CodeReader,281,26,156,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:26:37.228,TopVision,26,26,0,CodeReader,281,26,182,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:26:38.813,TopVision,26,26,0,CodeReader,281,26,208,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:26:40.312,TopVision,26,26,0,CodeReader,281,26,234,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:26:41.960,TopVision,26,26,0,CodeReader,281,26,260,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:29:57.378,TopVision,26,26,0,CodeReader,281,26,286,NG,ExceedTotalBatchQty,N/A,Admin
e,Engineer,11-01-2023 | 11:30:01.732,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:30:07.268,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:31:05.738,TopVision,14,14,0,CodeReader,281,26,52,NG,BoxQtyNotMatch,N/A,Admin
e,Engineer,11-01-2023 | 11:34:14.275,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:34:42.416,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:34:44.707,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:34:56.770,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:35:13.024,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
e,Engineer,11-01-2023 | 11:35:27.236,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:45:09.794,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:45:14.796,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:45:17.003,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:45:32.780,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:45:36.111,TopVision,26,26,0,CodeReader,281,26,130,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:45:41.861,TopVision,26,26,0,CodeReader,281,26,156,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:45:45.877,TopVision,26,26,0,CodeReader,281,26,182,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:46:14.469,TopVision,19,19,0,CodeReader,281,26,182,NG,BoxQtyNotMatch,N/A,Technician
a,Admin,11-01-2023 | 11:46:37.358,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:46:40.100,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:46:41.738,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:46:43.459,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:46:45.594,TopVision,26,26,0,CodeReader,281,26,130,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:46:47.186,TopVision,26,26,0,CodeReader,281,26,156,OK,N/A,N/A,N/A
a,Admin,11-01-2023 | 11:46:48.702,TopVision,26,26,0,CodeReader,281,26,182,OK,N/A,N/A,N/A
